yIjCeG9vHyugXd8xdKCFbg,1764,-826,Obstacle,CurbRamp,CurbRamp,3,2a783c12-395c-4cdc-b954-b5a225771360
brpZUd0jCkvYSWvaA37-DQ,7554,-568,CurbRamp,NoCurbRamp,50,12,87833d72-b357-4e2c-81cd-23f58ff04c59
_tRAfCvl_Ffq_ojGtma-Rg,1438,-598,NoCurbRamp,NoCurbRamp,67,15,87833d72-b357-4e2c-81cd-23f58ff04c59
RJhBGgcDGVSG0cO0DrDwLQ,8869,-1061,NoCurbRamp,NoCurbRamp,52,18,87833d72-b357-4e2c-81cd-23f58ff04c59
1pue-J_HWC7CH0K8UQj11g,4178,-702,NoCurbRamp,NoCurbRamp,72,21,87833d72-b357-4e2c-81cd-23f58ff04c59
Bj1aVe7G3VVjLLhS1IOfKg,7608,-937,NoCurbRamp,NoCurbRamp,67,23,87833d72-b357-4e2c-81cd-23f58ff04c59
i6CRjEwA9YAhhPNLSNyQzQ,4874,-423,SurfaceProblem,NoCurbRamp,55,26,87833d72-b357-4e2c-81cd-23f58ff04c59
6QumfJe0jsO1K7lYy5PLzQ,9418,-357,CurbRamp,NoCurbRamp,55,28,87833d72-b357-4e2c-81cd-23f58ff04c59
xMq0L_fNy72tQNC8H8PUwg,10358,-390,CurbRamp,Obstacle,62,29,87833d72-b357-4e2c-81cd-23f58ff04c59
J8vEheZuJrSrviNpdcJSRA,5999,-432,CurbRamp,SurfaceProblem,SurfaceProblem,36,d3636d4c-2d16-410c-bf44-c066ecaf1c31
uWEjysBSqnomKbCvfMl7oA,916,-402,SurfaceProblem,SurfaceProblem,SurfaceProblem,41,d3636d4c-2d16-410c-bf44-c066ecaf1c31
YM4nAT7gM0aPdJxl0jW0fQ,4268,-515,CurbRamp,CurbRamp,CurbRamp,51,9005a64a-fa73-4c84-b08b-b61eece1b9b7
vkPzWZTa6gw9w7wFdjqVSg,6803,-441,CurbRamp,NoCurbRamp,NoCurbRamp,58,e0b3316c-6d15-48ab-9bd3-3eceafc14059
QocVVHJBDHVrMFgke6QKjQ,1707,-523,NoCurbRamp,CurbRamp,CurbRamp,63,d3636d4c-2d16-410c-bf44-c066ecaf1c31
r_Gd8yZB4Vz1m25qBjS7Rw,415,-532,CurbRamp,Obstacle,Obstacle,65,d3636d4c-2d16-410c-bf44-c066ecaf1c31
Zs3EDRVyofY0sHhektE9Ng,1500,-209,NoCurbRamp,Obstacle,Obstacle,70,9005a64a-fa73-4c84-b08b-b61eece1b9b7
pnKXyh9UE9wpt83xqbEyiA,3217,-886,Obstacle,NoCurbRamp,NoCurbRamp,74,9005a64a-fa73-4c84-b08b-b61eece1b9b7
