user_id,pano_id,sv_x,sv_y,label_type,pred
87833d72-b357-4e2c-81cd-23f58ff04c59,s_MaNEBOE3Jj37L-1F2mLw,6420,-1683,SurfaceProblem,TRUE
87833d72-b357-4e2c-81cd-23f58ff04c59,yZvLjlsOgkdlvdPx_sPaJg,8774,-544,SurfaceProblem,FALSE
87833d72-b357-4e2c-81cd-23f58ff04c59,0XP_7POtcil_XYHxF7X7Kw,5001,-463,NoCurbRamp,TRUE
87833d72-b357-4e2c-81cd-23f58ff04c59,rb2S4WDieyeSg0cPDN_AcQ,8414,-1292,SurfaceProblem,TRUE
e4ff325c-309b-4ea6-8555-8f973e662362,bymrCuREQsOYvmDaShtvfg,11470,-363,SurfaceProblem,TRUE
e4ff325c-309b-4ea6-8555-8f973e662362,Qw18o8fCQ3Y6SDLrxEAiXA,11468,-608,SurfaceProblem,TRUE
e4ff325c-309b-4ea6-8555-8f973e662362,9Kif1U2FYLnxidGgXKd6Aw,11943,-621,SurfaceProblem,TRUE
e4ff325c-309b-4ea6-8555-8f973e662362,5WtjQeWkksZJtEeKh62xJg,1678,-737,SurfaceProblem,TRUE
87833d72-b357-4e2c-81cd-23f58ff04c59,5Dbddf5Rk68HstSO8YpCEQ,8776,-619,SurfaceProblem,FALSE
87833d72-b357-4e2c-81cd-23f58ff04c59,rAbgMD38zk3r8AUcztRJUg,6213,-968,SurfaceProblem,FALSE
87833d72-b357-4e2c-81cd-23f58ff04c59,fLAvZcMpRwqBru30gUikZg,5071,-744,SurfaceProblem,FALSE
87833d72-b357-4e2c-81cd-23f58ff04c59,KlFolepla_6HhAMGBC_fxQ,1943,-112,SurfaceProblem,FALSE
87833d72-b357-4e2c-81cd-23f58ff04c59,qO_lfo4YCcH3SuL0sccDKQ,11009,-222,SurfaceProblem,TRUE
87833d72-b357-4e2c-81cd-23f58ff04c59,#NAME?,10406,-630,Obstacle,TRUE
87833d72-b357-4e2c-81cd-23f58ff04c59,tIgENIVv9-MS4cHcEtWmoQ,10491,-680,CurbRamp,TRUE
87833d72-b357-4e2c-81cd-23f58ff04c59,FvdfRK90gnKBeNEFxTjqZA,3549,-545,CurbRamp,TRUE
87833d72-b357-4e2c-81cd-23f58ff04c59,771oPpcwZfIYIDVN_bR5iw,11649,-614,CurbRamp,TRUE
87833d72-b357-4e2c-81cd-23f58ff04c59,pg1YXHj3fHnMYow9OIybEw,2537,-334,CurbRamp,TRUE
87833d72-b357-4e2c-81cd-23f58ff04c59,nSPu9wWVkw21AB3KwVH_sg,7811,-609,CurbRamp,FALSE
87833d72-b357-4e2c-81cd-23f58ff04c59,q6pR2VruGb2Uov9vug-2kQ,7631,-581,CurbRamp,FALSE
87833d72-b357-4e2c-81cd-23f58ff04c59,peDDksGXPynWexSabBfxVg,11021,-346,CurbRamp,TRUE
87833d72-b357-4e2c-81cd-23f58ff04c59,1RGPnGrY1LBbiBsMKEHHLw,11428,-867,CurbRamp,TRUE
