user_id,time_stamp,label_id,pano_id,sv_x,sv_y,type,label
2a783c12-395c-4cdc-b954-b5a225771360,17:52.4,43729,YDHfcGyL-LbQfWwcn9JMug,12532,-331,unclear,SurfaceProblem
2a783c12-395c-4cdc-b954-b5a225771360,34:00.4,58288,FDarxnDotRyTin0o-uF43Q,4510,-711,disagree,Obstacle
2a783c12-395c-4cdc-b954-b5a225771360,34:19.2,42611,hxbvZfI8EqSLoRVtTHpYzQ,4818,-814,disagree,Obstacle
2a783c12-395c-4cdc-b954-b5a225771360,34:36.6,17646,yIjCeG9vHyugXd8xdKCFbg,1764,-826,agree,CurbRamp
2a783c12-395c-4cdc-b954-b5a225771360,36:04.5,26098,oj-WcakQ2zbuba7q7u1Etw,4951,-426,agree,Obstacle
2a783c12-395c-4cdc-b954-b5a225771360,37:07.5,62883,N1LBZoLuWFh8I8GVay6uGA,5421,-437,agree,SurfaceProblem
9005a64a-fa73-4c84-b08b-b61eece1b9b7,35:58.9,31871,aKXyvCZlmkKu3hI4ksNxww,12606,-204,disagree,Obstacle
9005a64a-fa73-4c84-b08b-b61eece1b9b7,36:01.7,50652,JV7TqM9tyw6KqBW8uPJhlg,11248,-163,agree,Obstacle
9005a64a-fa73-4c84-b08b-b61eece1b9b7,37:35.1,50019,SwZSKXH_iYKVad1mrJHBpg,10602,-628,disagree,SurfaceProblem
9005a64a-fa73-4c84-b08b-b61eece1b9b7,37:58.2,28468,zhqKcnGHtUCQwi83-c4McA,11599,-369,agree,NoCurbRamp
87833d72-b357-4e2c-81cd-23f58ff04c59,24:27.8,39734,xqBlcNk1t0FPILaEL-j7CA,9143,-487,agree,NoCurbRamp
9005a64a-fa73-4c84-b08b-b61eece1b9b7,37:56.5,59134,0WqhJSB_PIhl8R3bIiiz3A,5333,-455,agree,NoCurbRamp
87833d72-b357-4e2c-81cd-23f58ff04c59,24:24.4,17375,brpZUd0jCkvYSWvaA37-DQ,7554,-568,agree,NoCurbRamp
87833d72-b357-4e2c-81cd-23f58ff04c59,25:55.0,26398,7hcLs0AnXsIEZweJyaQPXA,2551,-211,agree,CurbRamp
87833d72-b357-4e2c-81cd-23f58ff04c59,24:30.8,39320,oOzH9I9Wsc2r8OhXI-yXiA,12401,-918,agree,NoCurbRamp
87833d72-b357-4e2c-81cd-23f58ff04c59,57:59.8,64637,KqyaKTWJxXg0e0EmMr13KA,825,-1270,unclear,NoCurbRamp
87833d72-b357-4e2c-81cd-23f58ff04c59,58:22.9,70153,_tRAfCvl_Ffq_ojGtma-Rg,1438,-598,agree,NoCurbRamp
87833d72-b357-4e2c-81cd-23f58ff04c59,58:23.8,70456,GccH76K9l-j59X5CLc8Ohw,1893,-598,agree,NoCurbRamp
87833d72-b357-4e2c-81cd-23f58ff04c59,59:20.0,63417,oJgRL5AwAOTnjvcvGbXtzQ,12250,-401,agree,SurfaceProblem
87833d72-b357-4e2c-81cd-23f58ff04c59,00:24.3,15315,RJhBGgcDGVSG0cO0DrDwLQ,8869,-1061,agree,NoCurbRamp
87833d72-b357-4e2c-81cd-23f58ff04c59,00:55.7,59535,4yM5AT2vm1jbyJ99cn4dgA,4932,-311,disagree,Obstacle
87833d72-b357-4e2c-81cd-23f58ff04c59,01:01.5,72917,fSjRPzqoz9D3lMX_umZjAQ,10360,-226,agree,Obstacle
87833d72-b357-4e2c-81cd-23f58ff04c59,36:28.7,32595,1pue-J_HWC7CH0K8UQj11g,4178,-702,agree,NoCurbRamp
87833d72-b357-4e2c-81cd-23f58ff04c59,02:13.6,55694,KHc_fAPPb4tYOHJxFAKvIw,1879,-229,unclear,Obstacle
87833d72-b357-4e2c-81cd-23f58ff04c59,36:16.9,72928,fSjRPzqoz9D3lMX_umZjAQ,10392,-227,agree,Obstacle
87833d72-b357-4e2c-81cd-23f58ff04c59,02:47.1,36788,Bj1aVe7G3VVjLLhS1IOfKg,7608,-937,agree,NoCurbRamp
87833d72-b357-4e2c-81cd-23f58ff04c59,10:27.3,63931,K7lMBqLXqqZ9rkL8OoPgog,6258,-459,disagree,SurfaceProblem
87833d72-b357-4e2c-81cd-23f58ff04c59,10:31.6,73800,usfOUXr7rZoKPjPF-MO0SQ,2490,-682,agree,SurfaceProblem
87833d72-b357-4e2c-81cd-23f58ff04c59,14:55.3,15520,i6CRjEwA9YAhhPNLSNyQzQ,4874,-423,agree,NoCurbRamp
87833d72-b357-4e2c-81cd-23f58ff04c59,15:04.0,47734,wWhtVIONX3eqVhIF11BWLA,7162,-1403,agree,NoCurbRamp
87833d72-b357-4e2c-81cd-23f58ff04c59,15:42.7,17701,QGcr2uKmXPJaMsOqkt3WPw,8369,-425,unclear,NoCurbRamp
87833d72-b357-4e2c-81cd-23f58ff04c59,15:49.4,20571,6QumfJe0jsO1K7lYy5PLzQ,9418,-357,agree,NoCurbRamp
87833d72-b357-4e2c-81cd-23f58ff04c59,17:02.6,49552,xMq0L_fNy72tQNC8H8PUwg,10358,-390,agree,Obstacle
87833d72-b357-4e2c-81cd-23f58ff04c59,17:34.2,73693,IpkMC5HW6R45YEfDrJ5UYw,7592,-429,agree,SurfaceProblem
87833d72-b357-4e2c-81cd-23f58ff04c59,17:45.9,56879,MZImbuzSdfJj9APmBxKUNg,10983,-532,agree,SurfaceProblem
87833d72-b357-4e2c-81cd-23f58ff04c59,18:14.3,45964,yNwefokhu2jLAV4CGnT6LA,12001,-707,disagree,SurfaceProblem
d3636d4c-2d16-410c-bf44-c066ecaf1c31,09:15.5,25101,rVQn8ZREnXHtDTm1Jv5qtA,11956,-496,agree,Obstacle
d3636d4c-2d16-410c-bf44-c066ecaf1c31,09:36.8,73937,1MnDCXJfLWMA-EFKVa_e1g,9800,-1246,disagree,SurfaceProblem
d3636d4c-2d16-410c-bf44-c066ecaf1c31,10:19.8,51019,3cV9jckLZqlL0E0ZPOzABg,5891,-744,disagree,SurfaceProblem
d3636d4c-2d16-410c-bf44-c066ecaf1c31,10:36.4,8189,J8vEheZuJrSrviNpdcJSRA,5999,-432,disagree,SurfaceProblem
d3636d4c-2d16-410c-bf44-c066ecaf1c31,11:01.3,32465,MPxrQwSmlJiYfzbFCpJJbw,7557,-356,disagree,SurfaceProblem
87833d72-b357-4e2c-81cd-23f58ff04c59,35:56.3,64793,Sy9Hqy8XGy9k9HbpTOApOA,4028,-254,agree,SurfaceProblem
d3636d4c-2d16-410c-bf44-c066ecaf1c31,54:21.0,54838,cFRxIPphEPm0HUcY3BT2wg,688,-302,agree,Obstacle
9005a64a-fa73-4c84-b08b-b61eece1b9b7,22:25.0,42511,hM6NwIOhWLbC-qyGY9q8rw,9906,-205,agree,CurbRamp
d3636d4c-2d16-410c-bf44-c066ecaf1c31,22:32.1,18603,uWEjysBSqnomKbCvfMl7oA,916,-402,disagree,SurfaceProblem
9005a64a-fa73-4c84-b08b-b61eece1b9b7,53:25.4,74282,CxZw-2DcY8AZnyyEL9I_xg,911,-133,agree,CurbRamp
d3636d4c-2d16-410c-bf44-c066ecaf1c31,54:22.4,55998,FuA_KGwuaOmLgtJfRoGJXA,10939,-473,agree,Obstacle
d3636d4c-2d16-410c-bf44-c066ecaf1c31,54:30.8,54712,ykzPnVQAsvxKNkVEiKyxkg,9146,-501,agree,Obstacle
d3636d4c-2d16-410c-bf44-c066ecaf1c31,54:17.1,48607,IWNF-Z7zVtvCWeYCTT6Wjg,2030,-634,disagree,Obstacle
e0b3316c-6d15-48ab-9bd3-3eceafc14059,37:08.6,72545,6a1M70ylSmLKnWcSFinNvg,458,-471,disagree,Obstacle
9005a64a-fa73-4c84-b08b-b61eece1b9b7,53:26.4,24718,Zk4F-zKGRd8Xc2KRwWrDsw,8431,-526,agree,CurbRamp
d3636d4c-2d16-410c-bf44-c066ecaf1c31,52:53.7,63615,8e-bM1ntqYDWPq7BLvr5EA,5514,-1135,agree,SurfaceProblem
d3636d4c-2d16-410c-bf44-c066ecaf1c31,58:31.9,21094,qAKIuLo6UEK9zzAv7pmoMw,2531,-640,disagree,SurfaceProblem
