2019-04-16 02:47:30.293-07,treyXG0iNYWO-B5UX1nRbw,3912,-276,CurbRamp
2019-04-16 02:48:37.003-07,WejfbZ22qlq-VZJwreE5Fg,3746,-1018,SurfaceProblem
2019-04-16 02:48:51.892-07,r2Oo5S8v2ritGCEjbC3fEA,4146,-951,SurfaceProblem
2019-04-16 02:48:58.185-07,H_MWJQ7cpL7DMPDibkkzqw,7769,-619,SurfaceProblem
2019-04-16 02:50:08.083-07,wuk--sZ3fJyMsMo4tJuybg,4684,-948,CurbRamp
2019-04-16 02:50:09.701-07,QIyXD3LVDR8MzD37SaeYjw,849,-383,CurbRamp
2019-04-16 02:50:16.13-07,fUb-Xiju32grhOgZZxrJPQ,12243,-295,CurbRamp
2019-04-16 02:50:18.146-07,V-L9_vKYo_c8ftXiiIei2w,7924,-640,CurbRamp
2019-04-16 02:50:32.59-07,bV4C_Q1VLnHuAnCl0C5n6g,70,-640,Obstacle
2019-04-16 02:50:35.071-07,W8_emPaPRqM87VAUNvL9KQ,9076,-448,Obstacle
2019-04-16 02:50:52.354-07,T4qW76s-3MCGQfsXJ0G7AA,2201,-179,Obstacle
2019-04-16 02:51:58.497-07,LsO4IQZWo6v_SB8MIg4QpQ,7141,-464,NoCurbRamp
2019-04-16 02:52:34.05-07,L-9t7rLv0h7iYPQP9wiM8w,8494,-746,SurfaceProblem
2019-04-16 02:52:36.567-07,NxGqyhjeCbOGEzwvXp_5lg,2166,-507,SurfaceProblem
2019-04-16 02:52:38.996-07,oAfObst8-OwFlUaV1Ca8kQ,2214,-952,SurfaceProblem
2019-04-16 02:52:59.629-07,9Ec-rByR7q90916QMnrZjw,3007,-1108,SurfaceProblem
2019-04-16 02:52:40.461-07,qTqy8ApuwdqFJLM39Tpohw,2489,-596,SurfaceProblem
2019-04-16 02:52:41.603-07,oqP7byVfpym5eotQ9U4fdA,4741,-478,SurfaceProblem
2019-04-16 02:52:57.306-07,xjFbY9o7maOIw6WWqGPb3g,4835,-561,SurfaceProblem
2019-04-16 02:52:56.455-07,xjFbY9o7maOIw6WWqGPb3g,4835,-561,SurfaceProblem
2019-04-16 02:53:02.99-07,DF4VBwDNJeFEg80MG6WL-A,4043,-608,SurfaceProblem
2019-04-16 02:53:48.716-07,vgWIpyO2xEL8ceVKK8u4QA,4885,-446,NoCurbRamp
2019-04-16 02:53:00.657-07,nZMTzQsf8Yhsb8Dd9yBwHw,2104,-734,SurfaceProblem
2019-04-16 02:53:30.236-07,A-eM226LYCgGNB1WLubj8Q,2339,-946,SurfaceProblem
2019-04-16 07:28:43.054-07,HVL0n0BYcC3AQhGiz11dNg,5453,-548,CurbRamp
2019-04-16 08:48:30.646-07,p-rJVykMOw5fr52Lo8svYw,12272,-1048,SurfaceProblem
2019-04-16 08:49:18.451-07,DF4VBwDNJeFEg80MG6WL-A,4043,-608,SurfaceProblem
2019-04-16 08:51:53.638-07,FV8qUKIW0My0Nfe2k4459A,9056,-219,Obstacle
2019-04-16 08:54:34.797-07,_ooQwlzQF_tLa6m_NydXoQ,8233,-715,Obstacle
2019-04-16 10:09:05.621-07,z2CaNDeJwX0fFi45ay-xTg,10635,-390,Obstacle
2019-04-16 10:09:24.083-07,BnNslKXkN6VExflPOKJ8jw,1864,-257,Obstacle
2019-04-16 10:23:37.49-07,nTol0mPdHLvkBYOC2VYToA,1498,-913,Obstacle
2019-04-16 10:23:04.307-07,hDnmhdxjioVmAw7opmGksQ,159,-265,Obstacle
2019-04-16 10:23:07.457-07,iXYGtES5ujggzEp38_EJYg,9326,-419,Obstacle
2019-04-16 12:01:38.432-07,z2CaNDeJwX0fFi45ay-xTg,10635,-390,Obstacle
2019-04-16 12:02:07.938-07,dTz4WUjV2cN8CdlrYRIljQ,5713,-352,SurfaceProblem
2019-04-16 12:02:22.707-07,brmET-k8-7Wc7c6EpWEc1w,4967,-528,SurfaceProblem
2019-04-16 12:08:03.68-07,tOy882rkHwRTi2BEp0_4AA,3233,-458,SurfaceProblem
2019-04-16 12:09:33.825-07,Kdy17T0hvCa_9qpAJYHLjg,7149,-817,Obstacle
2019-04-16 12:17:51.092-07,x0cjoNB3-uYRmW-RkOB6Cw,8878,-1096,CurbRamp
2019-04-16 12:18:01.604-07,z2CaNDeJwX0fFi45ay-xTg,10635,-390,Obstacle
2019-04-16 12:26:36.717-07,Hw0xWH4HqJTn2yhCpwNHoA,4012,-707,SurfaceProblem
2019-04-16 12:34:27.441-07,qTqy8ApuwdqFJLM39Tpohw,2489,-596,SurfaceProblem
2019-04-16 12:25:12.643-07,vgWIpyO2xEL8ceVKK8u4QA,11605,-634,NoCurbRamp
2019-04-16 12:30:57.672-07,iXYGtES5ujggzEp38_EJYg,9326,-419,Obstacle
2019-04-16 12:34:18.201-07,0Y_pWJAhRs_uedmnIiIm0A,11124,-784,SurfaceProblem
2019-04-16 12:52:17.386-07,cWkEELkuM3T425NJSEiYIw,780,-443,CurbRamp
2019-04-16 12:18:06.693-07,_ThcAfjL-9PVTI2IGWcIkg,5819,-416,Obstacle
2019-04-16 12:18:09.098-07,b_oAXeqgQXNskG-vg5PiVQ,11607,-248,Obstacle
2019-04-16 12:19:46.72-07,PfUfvQBPMDtsbtpoPlTBpw,4278,-584,SurfaceProblem
2019-04-16 12:41:06.783-07,omDZ1-fFNfCXRBMJfcvQtQ,2510,-327,Obstacle
2019-04-16 12:44:02.418-07,dTz4WUjV2cN8CdlrYRIljQ,5713,-352,SurfaceProblem
2019-04-16 12:18:48.397-07,BnNslKXkN6VExflPOKJ8jw,1864,-257,Obstacle
2019-04-16 12:21:04.933-07,LQIBE5AJ53FIoIMtq8Vb9g,2647,-605,SurfaceProblem
2019-04-16 12:18:46.73-07,7YiyTzFbvNivLvYXAuu88Q,3852,-693,Obstacle
2019-04-16 12:19:49.49-07,DF4VBwDNJeFEg80MG6WL-A,4043,-608,SurfaceProblem
2019-04-16 12:19:30.527-07,D5Se4AuiyxHr2ht2CkjnBQ,9589,-1343,CurbRamp
2019-04-16 12:25:21.971-07,LsO4IQZWo6v_SB8MIg4QpQ,7141,-464,NoCurbRamp
2019-04-16 12:19:31.566-07,4rj8R4UKWQbcqz9DSd6BgA,5206,-1710,CurbRamp
2019-04-16 12:21:21.246-07,WejfbZ22qlq-VZJwreE5Fg,3746,-1018,SurfaceProblem
