2019-03-04 12:03:30.272-08,3TO1sxavsQLIliltuPh5yw,11183,-514,Obstacle,CurbRamp,64,9,e4ff325c-309b-4ea6-8555-8f973e662362
2019-03-04 12:03:34.262-08,3TO1sxavsQLIliltuPh5yw,9057,-602,CurbRamp,CurbRamp,51,10,e4ff325c-309b-4ea6-8555-8f973e662362
2019-03-04 12:04:04.15-08,2zMHlmqFF6V2SHqueb1fZA,595,-510,SurfaceProblem,SurfaceProblem,56,12,e4ff325c-309b-4ea6-8555-8f973e662362
2019-03-04 12:05:56.857-08,jQdLwvjVMqab7AAsMcrVQA,1305,-411,CurbRamp,CurbRamp,62,14,e4ff325c-309b-4ea6-8555-8f973e662362
2019-03-04 12:06:00.321-08,jQdLwvjVMqab7AAsMcrVQA,3860,-775,SurfaceProblem,CurbRamp,42,15,e4ff325c-309b-4ea6-8555-8f973e662362
2019-03-04 12:06:02.114-08,jQdLwvjVMqab7AAsMcrVQA,5378,-1048,CurbRamp,CurbRamp,64,16,e4ff325c-309b-4ea6-8555-8f973e662362
2019-03-04 12:06:04.577-08,jQdLwvjVMqab7AAsMcrVQA,9071,-705,NoCurbRamp,CurbRamp,37,17,e4ff325c-309b-4ea6-8555-8f973e662362
2019-03-04 12:06:06.102-08,jQdLwvjVMqab7AAsMcrVQA,9732,-544,CurbRamp,CurbRamp,52,18,e4ff325c-309b-4ea6-8555-8f973e662362
2019-03-04 12:06:10.676-08,jQdLwvjVMqab7AAsMcrVQA,600,-391,CurbRamp,CurbRamp,57,19,e4ff325c-309b-4ea6-8555-8f973e662362
2019-03-04 12:06:15.023-08,lk95zcW0edw2sZCB1rMPTA,12710,-408,CurbRamp,CurbRamp,54,20,e4ff325c-309b-4ea6-8555-8f973e662362
2019-03-04 12:06:16.681-08,lk95zcW0edw2sZCB1rMPTA,12123,-498,CurbRamp,CurbRamp,54,21,e4ff325c-309b-4ea6-8555-8f973e662362
2019-03-12 09:25:40.774-07,hYEH3dM1ydGeOvU7l906_A,7995,-401,Obstacle,CurbRamp,58,22,e4ff325c-309b-4ea6-8555-8f973e662362
2019-03-12 09:25:51.243-07,hYEH3dM1ydGeOvU7l906_A,11453,-997,SurfaceProblem,SurfaceProblem,53,23,e4ff325c-309b-4ea6-8555-8f973e662362
2019-03-12 09:26:11.785-07,bV4C_Q1VLnHuAnCl0C5n6g,70,-640,Obstacle,Obstacle,74,24,e4ff325c-309b-4ea6-8555-8f973e662362
2019-03-12 09:26:20.873-07,7Y3UweyyZqDYGrFaXYUyUA,6474,-1402,Obstacle,Obstacle,56,25,e4ff325c-309b-4ea6-8555-8f973e662362
2019-03-12 09:26:41.492-07,9l6MO0OP2_Pxuyd-dbeuZg,8175,-1308,SurfaceProblem,SurfaceProblem,54,26,e4ff325c-309b-4ea6-8555-8f973e662362
2019-03-12 09:27:35.829-07,48JKHgwep8fxH0FYOrDxIg,8152,-1213,Obstacle,SurfaceProblem,63,27,e4ff325c-309b-4ea6-8555-8f973e662362
2019-03-12 09:27:36.693-07,48JKHgwep8fxH0FYOrDxIg,6836,-1381,SurfaceProblem,SurfaceProblem,64,28,e4ff325c-309b-4ea6-8555-8f973e662362
2019-03-12 09:27:37.273-07,48JKHgwep8fxH0FYOrDxIg,5307,-1119,SurfaceProblem,SurfaceProblem,60,29,e4ff325c-309b-4ea6-8555-8f973e662362
2019-03-12 09:27:41.189-07,p-rJVykMOw5fr52Lo8svYw,12272,-1048,NoCurbRamp,SurfaceProblem,63,30,e4ff325c-309b-4ea6-8555-8f973e662362
2019-03-12 09:27:57.44-07,xtLnOVoyuXQoLpHgaC1T5g,1424,-920,CurbRamp,CurbRamp,53,31,e4ff325c-309b-4ea6-8555-8f973e662362
2019-03-12 09:28:11.011-07,xtLnOVoyuXQoLpHgaC1T5g,6038,-1530,CurbRamp,CurbRamp,69,32,e4ff325c-309b-4ea6-8555-8f973e662362
2019-03-12 14:42:51.474-07,iKQUgAy3Qng_G5aAZrrAqQ,2232,-628,CurbRamp,CurbRamp,54,33,fa0bbee4-b98d-4eb3-b6da-d9e9aa287f6c
2019-03-12 14:42:55.317-07,iKQUgAy3Qng_G5aAZrrAqQ,2393,-469,CurbRamp,CurbRamp,55,34,fa0bbee4-b98d-4eb3-b6da-d9e9aa287f6c
2019-03-12 14:43:12.914-07,gyFuxqdBmrjXpxMkvJLUnA,4834,-1333,NoCurbRamp,CurbRamp,36,36,fa0bbee4-b98d-4eb3-b6da-d9e9aa287f6c
2019-03-12 14:43:14.595-07,gyFuxqdBmrjXpxMkvJLUnA,3771,-840,NoCurbRamp,CurbRamp,28,37,fa0bbee4-b98d-4eb3-b6da-d9e9aa287f6c
2019-03-12 14:43:16.191-07,gyFuxqdBmrjXpxMkvJLUnA,2045,-238,CurbRamp,CurbRamp,57,38,fa0bbee4-b98d-4eb3-b6da-d9e9aa287f6c
2019-03-12 14:43:18.299-07,gyFuxqdBmrjXpxMkvJLUnA,11460,-377,CurbRamp,CurbRamp,51,39,fa0bbee4-b98d-4eb3-b6da-d9e9aa287f6c
2019-03-12 14:43:21.571-07,gyFuxqdBmrjXpxMkvJLUnA,11916,-268,CurbRamp,NoCurbRamp,58,40,fa0bbee4-b98d-4eb3-b6da-d9e9aa287f6c
2019-03-12 14:43:49.874-07,gyFuxqdBmrjXpxMkvJLUnA,11827,-199,Obstacle,CurbRamp,64,41,fa0bbee4-b98d-4eb3-b6da-d9e9aa287f6c
2019-03-12 14:44:07.389-07,gyFuxqdBmrjXpxMkvJLUnA,909,-188,Obstacle,CurbRamp,53,43,fa0bbee4-b98d-4eb3-b6da-d9e9aa287f6c
2019-03-12 14:48:16.899-07,53PJ9NuERcvfRvPwoRIkUQ,5699,-564,CurbRamp,CurbRamp,50,78,fa0bbee4-b98d-4eb3-b6da-d9e9aa287f6c
2019-03-12 14:48:18.611-07,53PJ9NuERcvfRvPwoRIkUQ,8044,-525,CurbRamp,CurbRamp,53,79,fa0bbee4-b98d-4eb3-b6da-d9e9aa287f6c
2019-03-12 14:48:20.019-07,53PJ9NuERcvfRvPwoRIkUQ,9166,-433,Obstacle,CurbRamp,55,80,fa0bbee4-b98d-4eb3-b6da-d9e9aa287f6c
2019-03-12 14:48:21.231-07,53PJ9NuERcvfRvPwoRIkUQ,11360,-347,Obstacle,CurbRamp,66,81,fa0bbee4-b98d-4eb3-b6da-d9e9aa287f6c
2019-03-12 14:48:22.513-07,53PJ9NuERcvfRvPwoRIkUQ,12152,-267,Obstacle,CurbRamp,56,82,fa0bbee4-b98d-4eb3-b6da-d9e9aa287f6c
2019-03-12 14:48:23.956-07,53PJ9NuERcvfRvPwoRIkUQ,741,-290,NoCurbRamp,CurbRamp,36,83,fa0bbee4-b98d-4eb3-b6da-d9e9aa287f6c
